,name,host_id,host_since,host_since_readable,host_tenure_days,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,verifications_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bathrooms_number,bedrooms,beds,amenities,amenities_count,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,has_reviews
0,Huge Four Bedroom Apartment,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44306,-0.01948,Entire rental unit,Entire home/apt,10,2 baths,2.0,4,8,"[""Cooking basics"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Lockbox"", ""Luggage dropoff allowed"", ""Dryer"", ""Backyard"", ""Crib"", ""Hot water"", ""Pets allowed"", ""Hair dryer"", ""Essentials"", ""BBQ grill"", ""Dishwasher"", ""Wifi"", ""Kitchen"", ""Shared pool"", ""Self check-in"", ""Oven"", ""High chair"", ""Heating"", ""Private patio or balcony"", ""Shampoo"", ""Microwave"", ""Free parking on premises"", ""Long term stays allowed""]",35,297.0,3,365,13,15,31,293,68,12,1,134,110,32670.0,4.68,4.65,4.72,4.84,4.74,4.62,4.72,1,11,11,0,0,0.51,1
1,One Bedroom Apartment,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44284,-0.01997,Entire rental unit,Entire home/apt,2,1 bath,1.0,1,2,"[""Cooking basics"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""First aid kit"", ""Dishes and silverware"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Body soap"", ""Dining table"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Books and reading material"", ""Clothing storage"", ""Backyard"", ""Keypad"", ""Hangers"", ""Crib"", ""Hot water"", ""Hair dryer"", ""Blender"", ""Essentials"", ""Dishwasher"", ""Wifi"", ""Kitchen"", ""Hot water kettle"", ""Shared pool"", ""Self check-in"", ""Oven"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Heating"", ""Shampoo"", ""Microwave"", ""Bed linens"", ""Free parking on premises"", ""Long term stays allowed"", ""Portable fans""]",44,98.0,3,365,0,13,43,318,24,4,0,157,37,3626.0,4.58,4.42,4.54,4.58,4.25,4.54,4.42,1,11,11,0,0,0.22,1
2,Two Bedroom Newly Refurbished Apartment,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44359,-0.02275,Entire rental unit,Entire home/apt,4,1 bath,1.0,2,3,"[""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Refrigerator"", ""TV"", ""Free street parking"", ""Pool"", ""Backyard"", ""Keypad"", ""Hangers"", ""Crib"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Heating"", ""Shampoo"", ""Microwave"", ""Free parking on premises""]",27,148.0,3,365,3,6,27,302,58,6,0,141,55,8140.0,4.5,4.5,4.45,4.72,4.52,4.36,4.38,1,11,11,0,0,0.43,1
3,Refurbished Two Bedroom Apartment,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44355,-0.02309,Entire rental unit,Entire home/apt,5,1 bath,1.0,2,5,"[""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Luggage dropoff allowed"", ""Backyard"", ""Keypad"", ""Hangers"", ""Crib"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Shared pool"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Heating"", ""Shampoo"", ""Microwave"", ""Free parking on premises"", ""Long term stays allowed""]",29,144.0,3,365,11,33,53,328,36,7,0,167,64,9216.0,4.64,4.67,4.58,4.83,4.61,4.5,4.47,1,11,11,0,0,0.3,1
4,Spacious refurbished 2 bedroom apt with balcony,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44333,-0.02307,Entire rental unit,Entire home/apt,4,2 baths,2.0,2,4,"[""Cooking basics"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Luggage dropoff allowed"", ""Free street parking"", ""Dryer"", ""Backyard"", ""Keypad"", ""Hangers"", ""Crib"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Dishwasher"", ""Wifi"", ""Kitchen"", ""Shared pool"", ""Self check-in"", ""Oven"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Heating"", ""Microwave"", ""Bed linens"", ""Free parking on premises"", ""Long term stays allowed""]",35,157.0,3,365,0,9,11,255,54,4,0,101,37,5809.0,4.68,4.78,4.65,4.81,4.74,4.37,4.59,1,11,11,0,0,0.35,1
5,Two Bedrooms Garden Maisonette,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44204,-0.02149,Entire rental unit,Entire home/apt,3,2 baths,2.0,2,2,"[""Cooking basics"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Lockbox"", ""Luggage dropoff allowed"", ""Dryer"", ""Hangers"", ""Crib"", ""Hot water"", ""Pets allowed"", ""Hair dryer"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Shared pool"", ""Self check-in"", ""High chair"", ""Heating"", ""Shampoo"", ""Free parking on premises"", ""Long term stays allowed""]",28,148.0,3,365,2,2,27,274,8,0,0,113,0,0.0,3.88,4.13,3.75,4.88,4.63,4.5,4.13,1,11,11,0,0,0.09,1
6,One Bedroom Garden Apartment,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44353,-0.02328,Entire rental unit,Entire home/apt,4,1 bath,1.0,1,3,"[""Cooking basics"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Dryer"", ""Shared backyard \u2013 Fully fenced"", ""Keypad"", ""Crib"", ""Hot water"", ""Pets allowed"", ""Hair dryer"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Shared pool"", ""Self check-in"", ""High chair"", ""Heating"", ""Shampoo"", ""Free parking on premises""]",27,120.0,4,365,6,23,48,323,17,4,1,162,37,4440.0,4.59,4.53,4.47,4.76,4.71,4.53,4.65,1,11,11,0,0,0.2,1
7,Four Bedroom Garden Apartment,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44151,-0.02195,Entire rental unit,Entire home/apt,7,2 baths,2.0,4,6,"[""Cooking basics"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Dryer"", ""Backyard"", ""Keypad"", ""Crib"", ""Hot water"", ""Pets allowed"", ""Hair dryer"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Shared pool"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Heating"", ""Shampoo"", ""Free parking on premises""]",28,216.0,4,365,6,17,29,295,44,4,0,134,37,7992.0,4.64,4.5,4.43,4.75,4.77,4.52,4.48,1,11,11,0,0,0.31,1
8,Huge Three Bedroom Flat with parking and terrace,1389063,2011-11-09,"November 09, 2011",5056,within an hour,0.86,1.0,0,12,"['email', 'phone']",2,1,1,Lewisham,51.44346,-0.02122,Entire rental unit,Entire home/apt,7,2 baths,2.0,3,4,"[""Cooking basics"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Dryer"", ""Backyard"", ""Keypad"", ""Crib"", ""Hair dryer"", ""Patio or balcony"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Shared pool"", ""Self check-in"", ""Heating"", ""Shampoo"", ""Free parking on premises""]",25,238.0,3,365,17,27,47,322,65,12,0,161,110,26180.0,4.72,4.68,4.54,4.97,4.88,4.49,4.68,1,11,11,0,0,0.52,1
9,Central London with Stunning Views!,1395281,2011-11-11,"November 11, 2011",5054,within a few hours,1.0,1.0,1,3,"['email', 'phone']",2,1,1,Camden,51.52617,-0.1302,Private room in rental unit,Private room,1,1.5 shared baths,1.5,1,1,"[""Washer"", ""Iron"", ""Hair dryer"", ""Smoke alarm"", ""Host greets you"", ""Heating"", ""Dishes and silverware"", ""Elevator"", ""Dryer"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Paid parking off premises"", ""Kitchen"", ""Hangers"", ""Hot water""]",16,62.0,7,90,1,2,2,27,532,18,1,27,252,15624.0,4.9,4.88,4.86,4.92,4.92,4.94,4.84,0,1,0,1,0,3.22,1
